SOC_CODE,SOC_AVG_PROC,SOC_APP_COUNT
19-2032.00,10.25,114
19-2041.00,11.12,40
19-2041.01,17.67,3
19-2041.02,7.0,1
19-2042,7.0,1
19-2042.00,11.88,43
19-2043.00,10.64,11
19-2099.00,7.0,3
19-2099.01,8.0,6
19-3011.00,9.23,69
19-3011.01,14.0,6
19-3022.00,11.53,19
19-3032.00,14.4,5
19-3033.00,10.15,13
19-3034.00,5.5,2
19-3039.00,17.67,3
19-3039.02,7.4,5
19-3041.00,15.18,17
19-3051.00,16.69,26
19-3091.00,16.5,4
19-3092.00,10.0,13
19-3093.00,7.0,2
19-3094.00,7.9,10
19-3099.00,14.56,9
19-3099.01,23.5,12
19-4012.00,7.5,2
19-4012.01,8.5,2
19-4013.00,9.0,2
19-4021,8.0,4
19-4021.00,10.83,111
19-4042.00,5.67,3
19-4043.00,38.0,1
19-4061,7.0,1
19-4061.00,15.53,43
19-4099.00,7.0,1
19-4099.01,13.8,5
19-5011.00,13.0,11
20-1021,8.0,1
21-1011.00,15.25,4
21-1012,4.5,2
21-1012.00,10.23,39
21-1013.00,10.83,6
21-1014,4.5,2
21-1014.00,9.61,74
21-1015.00,13.09,95
21-1019.00,7.0,1
21-1021.00,12.0,16
21-1022.00,7.3,10
21-1023.00,9.83,18
21-1029.00,10.0,1
21-1091.00,9.03,29
21-1092.00,7.0,1
21-1093.00,8.0,4
21-1099.00,8.5,2
21-2011.00,11.14,35
21-2021.00,6.75,4
23-1011,7.0,1
23-1011.00,10.59,287
23-1012.00,5.88,26
23-1021.00,8.0,2
23-1022.00,25.0,2
23-2011.00,9.1,30
23-2099.00,13.44,9
25-1011,11.0,1
25-1011.00,10.97,115
25-1021,8.0,2
25-1021.00,11.34,146
25-1022,14.0,5
25-1022.00,12.32,78
25-1031,10.0,1
25-1031.00,19.8,5
25-1032,23.0,2
25-1032.00,10.35,158
25-1041.00,14.74,34
25-1042.00,10.07,72
25-1043.00,17.33,3
25-1051,38.0,1
25-1051.00,15.75,12
25-1052.00,12.09,23
25-1053.00,10.25,12
25-1054.00,9.15,26
25-1061.00,23.0,2
25-1062.00,7.5,6
25-1063,10.0,1
25-1063.00,10.72,29
25-1064.00,11.3,10
25-1065.00,14.77,13
25-1066.00,15.46,13
25-1067.00,17.29,7
25-1069,11.0,1
25-1069.00,5.75,4
25-1071,8.2,5
25-1071.00,12.36,236
25-1072.00,13.33,6
25-1081.00,13.67,33
25-1082.00,8.0,2
25-1111.00,8.67,3
25-1112.00,16.45,11
25-1113.00,8.33,3
25-1121.00,10.69,35
25-1122.00,9.04,23
25-1123,7.0,1
25-1123.00,8.24,17
25-1124,7.0,1
25-1124.00,11.59,39
25-1125.00,17.22,9
25-1126.00,14.0,11
25-1192.00,10.0,3
25-1193.00,7.25,4
25-1194.00,21.4,5
25-1199.00,13.12,25
25-2011.00,10.58,26
25-2012.00,12.27,15
25-2021.00,11.1,195
25-2022.00,9.44,95
25-2023.00,7.5,2
25-2031,7.0,1
25-2031.00,10.36,206
25-2032.00,8.0,4
25-2051.00,8.4,5
25-2055.00,7.0,1
25-2056.00,10.58,36
25-2057.00,10.12,17
25-2058.00,10.38,29
25-2059.00,11.11,9
25-2059.01,7.0,2
25-3011.00,7.0,1
25-3021.00,9.0,2
25-3041.00,7.0,1
25-3099.00,15.08,13
25-4011.00,8.0,2
25-4012.00,12.62,8
25-4013.00,7.0,1
25-4022,7.0,1
25-4022.00,17.43,7
25-9021.00,7.71,7
25-9031,10.0,1
25-9031.00,9.87,45
25-9044.00,7.0,1
25-9099.00,8.33,3
27-1011.00,11.42,26
27-1012.00,7.0,1
27-1013.00,7.0,1
27-1014,7.0,4
27-1014.00,8.9,21
27-1021,8.0,1
27-1021.00,9.64,88
27-1022.00,13.94,18
27-1024.00,11.58,155
27-1025.00,13.22,40
27-1027.00,7.0,1
27-1029.00,7.73,11
27-2012.00,11.97,31
27-2012.03,19.33,3
27-2012.04,7.0,2
27-2022.00,12.21,33
27-2041.00,5.4,10
27-3023.00,12.14,7
27-3031,7.33,3
27-3031.00,9.58,57
27-3041.00,8.71,17
27-3042.00,10.3,23
27-3043.00,23.5,4
27-3091.00,10.78,9
27-3099.00,5.83,6
